r_tipo,nombre,cantidad_sugerida,unidad,peso_bruto,peso_neto,energia,proteina,lipidos,hco,sodio,azucar,indice_glicemico,carga_glicemica
16,"Aderezos para ensalada bajos en
calorías y grasa",0.3,taza,85,85,40,0,0,8,1066.6,8,,
16,Agua quina,0.3,lata,117,117,42,0,0,11.1,16.3,11.1,,
16,Ate,13,g,13,13,41,0.4,0.1,9.8,0,9.2,51,5
16,Ate de guayaba,13,g,13,13,41,0.4,0.1,9.8,0,9.2,51,5
16,Ate de membrillo,13,g,13,13,41,0.4,0.1,9.8,0,9.2,51,5
16,Azúcar blanca,2,cucharadita,8,8,33,0,0,8.4,0,8.4,68,5.7
16,Azúcar de mesa,2,cucharadita,8,8,33,0,0,8.4,0,8.4,68,5.7
16,Azúcar glass,4,cucharadita,10,10,39,0,0,10,0.1,9.8,68,6.8
16,Azúcar granulada,2,cucharadita,8,8,33,0,0,8.4,0,8.4,68,5.7
16,Azúcar mascabado,2,cucharadita,10,10,36,0,0,9.1,3,9.1,68,6.2
16,Azúcar morena,3,cucharadita,9,9,34,0,0,8.8,2.5,8.7,68,6
16,Bebida láctea fermentada,21,pieza,80,80,50,0.9,0.2,11.7,0,11.4,46,5.4
16,Bebida para deportistas,0.25,bote sport,152,152,40,0,0,9.8,59.4,8,78,7.6
16,Bebida para deportistas en polvo,2,cucharadita,10,10,36,0,0,9.5,60.3,9,78,7.4
16,Boost,0.3,lata,78,78,33,0.3,0,7.9,0.6,7.9,,
16,Bubbaloo xtreme,0.5,pieza,8,8,33,0.1,0,8.1,0.2,5.7,,
16,Bubulubu,0.3,pieza,12,12,46,0.1,0.9,9.2,38.5,6.6,,
16,Burn,0.2,lata,62,62,36,0.2,0,9,28,9,,
16,Café capuchino helado,0.3,taza,80,80,43,0.7,0.8,8,40,7,,
16,Café capuchino instantáneo,2,cucharadita,8,8,32,0.2,0.4,6.9,14.4,5.5,,
16,Cajeta,1.5,cucharadita,9,9,36,0.5,1,6.4,7.7,,,
16,Caramelo,2,pieza pequeña,12,12,47,0,0,11.8,4.6,7.5,,
16,Caramelo de mantequilla,2,pieza,11,11,45,0,0.4,10.8,4.8,10.8,,
16,Caramelo macizo,2,pieza pequeña,12,12,47,0,0,11.8,4.6,7.5,,
16,Caramelo salvavidas,4,pieza,10,10,40,0,0,10,0,10,70,7
16,Cáscara de naranja cristalizada,10,g,10,10,32,0,0,8.2,0,,,
16,Castaña,2,pieza,22,22,44,0.4,0.3,9.9,0.4,,,
16,Castaña con cáscara,2,pieza,30,18,39,0.4,0.4,8.3,0.5,,,
16,Castaña asada,12,g,12,12,44,0.6,0.5,9.4,4.4,,,
16,Chewy cay,0.5,pieza,13,13,44,0,0.2,10.5,26.1,7.2,,
16,Chicle,5,pieza,15,15,37,0,0,9.9,0.2,9.9,,
16,Chicle bajo en azúcar,6,pieza,12,12,32,0,0,11.4,0.8,,,
16,Chicloso,1,pieza,12,12,46,0.3,1.1,8.7,15.5,5.4,,
16,Chocolate en polvo sin azúcar,2,cucharadita,10,10,40,2,1,6,,4,51,3.1
16,Cococa en polvo,2,cucharadita,10,10,40,2,1,6,,4,51,3.1
16,Conos de helado,3,pieza,12,12,44,0,,11.1,,,,
16,Crazy dips sabor frutas,1,sobre,12,12,45,0,,12,0,,,
16,Cubierta de chocolate,2,cucharadita,12,12,48,0,1.3,9.1,0,0,,
16,Cubierta de fresa,3,cucharadita,16,16,41,0,0,10.6,3.4,0,,
16,Cubierta de piña,3,cucharadita,16,16,40,0,0,10.6,9.9,0,,
16,Cueritos de fruta,0.5,pieza,11,11,39,0,0.3,9,33.3,5.2,99,8.9
16,Flan en polvo,1,cucharada,12,12,42,0,0,11,51.8,,,
16,Fruta cristalizada,15,g,15,15,45,0.5,0.1,11,0,11,103,11.4
16,Gatorade variedad de sabores,200,ml,200,200,46,0,0,11.6,91.6,11.6,,
16,Gelatina,0.3,taza,59,59,37,0.7,0,8.4,44.6,8,,
16,Gelatina de sabor en polvo,10,g,10,10,38,0.8,0,9.1,46.6,8.6,,
16,Gelatina en polvo para agua,10,g,10,10,38,0.8,0,9.1,46.6,8.6,,
16,Gelatina en polvo para leche,10,g,10,10,38,0.8,0,9.1,46.6,8.6,,
16,Gelatina preparada,4.5,cucharada,72,72,45,0.9,0,10.2,54,9.7,,
16,Gomitas,4,pieza,12,12,42,0.5,0,10.2,0,7.1,,
16,Halls nite,0.5,pieza,8,8,31,0.1,0,7.6,0,5.5,,
16,Jalea,2,cucharadita,13,13,42,0,0,10.7,3.3,6.5,,
16,Jarabe de chocolate,1,cucharada,18,18,49,0.4,0.2,11.4,12.7,8.7,,
16,Jarabe de sabor para preparar agua,1,cucharada,17,17,41,0,0.1,11.2,0,,,
16,Jugo de caña de azucar,0.25,taza,60,60,50,0.2,0.1,12.3,,,,
16,Jugo de ciruela pasa,0.25,taza,64,64,45,0.4,0,11.2,2.6,10.5,,
16,"Jugo de citricos preparados con
agua",0.3,taza,80,80,37,0.2,0,9.2,3.2,6.5,50,4.6
16,Jugo de fruta concentrado,20,g,20,20,45,0.8,0.3,10.1,1,10,50,5.1
16,Jugod e frutas,0.3,taza,80,80,40,0,0,10,53.3,10,50,5
16,"Jugo de zanahoria. manzana y 3
frutas citricas",0.3,taza,80,80,39,0,0,9.7,6.4,9,,
16,Jugo naturales de Lala,1,pieza,125,125,28,0.5,0,6.5,3.8,6.5,,
16,Leche coensada,2,cucharadita,11,11,36,0.9,1,6.1,14.2,6.1,61,3.7
16,Leche coensada light,1,cucharada,16,16,45,1.4,0.1,9.6,16.5,,,
16,"Leche en polvo sabor chocolate con
malbavisco",2,cucharada,14,14,56,0.6,0.3,12.6,19,11.5,,
16,"leche en polvo sabor fudge de
chocolate",2,cucharada,14,14,56,0.6,0.3,12.6,19,11.5,,
16,Malvavisco,2,pieza,14,14,45,0.3,0,11.4,11.2,8.1,,
16,Malvavisvo miniatura,18,pieza,13,13,40,0.2,0,10.2,10.1,7.3,,
16,Melaza,2.5,cucharadita,13,13,36,0,0,8.9,6.1,,,
16,Mentas de caramelo,6,pieza,10,10,41,0,0,10.2,0,10.2,70,7.1
16,"Merengue ""duro""",11,pieza pequeña,11,11,42,0.2,0,10.2,0,,,
16,Mermelada,2.5,cucharadita,17,17,41,0.1,0,10,0.2,8.1,48,4.8
16,Mermelada con frustosa,2.5,cucharada,43,43,40,0,0,10,50,10,,
16,Mermelada de fruta. menos azucar,2,cucharada,30,30,40,0,0,9.9,0,9.9,,
16,miel,2,cucharadita,14,14,43,0,0,11.5,0.6,11.5,55,6.3
16,Miel de abeja,2,cucharadita,14,14,43,0,0,11.5,0.6,11.5,55,6.3
16,Miel de caña,2,cucharadita,12,12,35,0.1,0,8.7,,,,
16,Miel de maiz,2,cucharadita,12,12,36,0,0,9,8.2,,,
16,Miel de jarabe sabor maple,2,cucharadita,12,12,31,0,0,8.1,1.1,7.1,,
16,Monster Energy,0.2,lata,96,96,72,0,0,11,72,11,,
16,Monster Kaos,0.2,lata,96,96,36,0.4,0,8.4,6,8.4,,
16,Mousse de chocolate sin grasa,0.25,taza,50,50,47,1,0.2,10.4,55,7.9,31,3.2
16,Néctar de fruta,0.25,taza,63,63,38,0.1,0,9.9,2.5,9.5,54,5.3
16,Nescafe Dolca gusto Nestea peach,2,cápsula,12,12,42,0,0,10,0,10,,
16,Nieves de frutas,40,g,40,40,40,0.2,0.1,9.7,0,9.7,,
16,Obelas de cajeta,1,pieza chica,7,7,30,0.7,0.7,5.3,15.3,5.3,,
16,Paleta de caramelo,2,pieza,12,12,44,0,0,11.8,0,11.8,70,8.3
16,Paleta helada de agua,1,pieza,52,52,41,0,0.1,10,3.6,7.1,,
16,Paleta helada de fruta,0.5,pieza,46,46,38,0.6,0.1,9.3,2,9.3,,
16,Paleta helada de fruta sin azúcar,3,pieza,153,153,36,0.9,0.3,9.6,9,9.6,,
16,Paleta helada de yogur sabor coco,0.5,pieza,35,35,47,0.7,0.9,9.1,22.8,9.1,,
16,Paitas,0.3,bolsa,15,15,47,0.9,0,10.9,1.7,7.6,,
16,Pasitas con chocolate,11,pieza,11,11,43,0.5,1.6,7.5,4,6.8,,
16,Piloncillo,10,g,10,10,36,0,0,9.1,3,9.1,,
16,Piloncillo rallado,1,cucharada,10,10,36,0,0,9.1,3,9.1,,
16,Ponche de frutas,0.3,taza,79,79,36,0,0,9.2,4,,,
16,Queso de tuna,13,g,13,13,42,0.2,,10.3,,,,
16,Red Bull,0.3,lata,83,83,37,0.2,0.1,9,69.3,8.3,,
16,Refresco,0.25,lata,92,92,38,0,0,9.7,3.5,9.7,66,6.4
16,Refresco de cola,0.25,lata,92,92,38,0,0,9.7,3.5,9.7,58,5.6
16,Refresco de frutas,0.25,lata,89,89,44,0,0,11.1,59.2,11.1,,
16,Salsa catsup,2,cucharada,30,30,29,0.5,0.1,7.6,334.2,6.8,,
16,Salsa de manzana,1,cucharada,16,16,42,0.1,0,10.7,37.1,7.2,,
16,Salsa de tamario,25,g,25,25,40,0.3,0.7,8.8,131.5,3.5,,
16,Salsa demiglass,0.3,taza,63,63,36,1.3,0.5,7.5,576.2,3.5,,
16,Skwinkes clásicos,0.5,paquete,10,10,35,0.5,0.2,8.1,75,5,,
16,So be rush,0.3,lata,99,99,52,0.4,0,10.7,43.6,10.7,,
16,Té helado en polvo,4,cucharadita,10,10,41,0,0.1,10.1,0.5,9.7,,
16,Tribu,0.25,lata,63,63,30,0.3,0,7,47.5,7,,
