r_tipo,nombre,cantidad_sugerida,unidad,peso_bruto,peso_neto,energia,proteina,lipidos,hco,colesterol,vitaminaa,calcio,sodio
11,"ALF** natural con Lactobacillus
casei Shirota",1.5,envase,157.5,157.5,108,5.7,3.4,13.5,,,195,72
11,Leche evaporada semidescremada,0.5,taza,130,160,101,8.1,2,12.2,20.3,0,324,141.8
11,Leche fácil digestión,1,taza,240,240,109,7.5,3.9,11.2,0,114,248,120
11,Leche Lactium MX,1,taza,240,240,109,7.2,4,11,21,330,264,100
11,Leche Lala Extracalcio Deslactosada,1,taza,218,218,114,8.3,3.5,12.5,0,0,332,131
11,"Leche Lala Extracalcio
Semidescremada",1,taza,218,218,114,8.3,3.5,12.5,0,0,332,131
11,Leche Lala Semidescremada,1,taza,240,240,109,7.5,3.8,11.1,0,0,247.7,120
11,"Leche Lala Vive Deslactosada
semidescremada",1,taza,240,240,109,7.5,3.8,11.1,0,0,247.7,120
11,"Leche Lala Vive sin colesterol con
omega 3",1,taza,228,228,115,8.3,3.6,12.3,0,0,301,166.9
11,Leche semidescremada,1,taza,233,233,116,7.7,4.4,11.2,18.6,0,284,116.4
11,Leche semidescremada 1%,1,taza,244,244,102,8,2.6,11.7,10,114,300,123
11,Leche semidescremada 2%,1,taza,234,234,116,7.8,4.5,11.2,17.3,133.4,285.1,117.1
11,Licuado de leche Lala Siluette Plus,1,pieza,250,250,113,7.5,0.5,16.3,,,,40.5
